"Country","Gender Equality Index","WORK","Participation","FTE employment rate (%)","Duration of working life (years)","Segregation and quality of work","Employed people in education, human health and social work activities (%)","Ability to take one hour or two off during working hours to take care of personal or family matters (%)","Career Prospects Index (points, 0-100)","MONEY","Financial resources","Mean monthly earnings (PPS)","Mean equivalised net income (PPS)","Economic situation","Not at-risk-of-poverty (%)","Income distribution S20/80","KNOWLEDGE","Attainment and participation","Graduates of tertiary education (%)","People participating in formal or non-formal education (%)","Segregation","Tertiary students in education, health and welfare, humanities and arts (%)","TIME","Care activities","People caring for and educating their children or grandchildren, elderly or people with disabilities, every day (%)","People doing cooking and/or housework, every day (%)","Social activities","Workers doing sporting, cultural or leisure activities outside of their home, at least daily or several times a week (%)","Workers involved in voluntary or charitable activities, at least once a month (%)","POWER","Political","Share of ministers (%)","Share of members of parliament (%)","Share of members of regional assemblies (%)","Economic","Share of members of boards in largest quoted companies, supervisory board or board of directors (%)","Share of board members of central bank (%)","Social","Share of board members of research funding organisations (%)","Share of board members of publically owned broadcasting organisations (%) ","Share of members of highest decision making body of the national Olympic sport organisations (%) ","HEALTH","Status","Self-perceived health, good or very good (%)","Life expectancy at birth (years)","Healthy life years at birth (years)","Behaviour","People who don't smoke and are not involved in harmful drinking (%)","People doing physical activities and/or consuming fruits and vegetables (%)","Access","Population without unmet needs for medical examination (%)","Population without unmet needs for dental examination (%)"
"EU-28","63,8310181929","70,5215501545","78,0989242577","72,0991942884","84,0986542269","63,6793538896","34,7481375795","63,2273308876","93,0625932016","78,4221794024","69,4238115598","72,4710507423","66,3765723774","88,5868707585","94,8580809312","82,3156605858","61,8077308753","68,4521087106","74,1404413371","62,763776084","55,8082967481","55,8082967481","66,328896561","67,3158542038","80,9520908435","53,679617564","65,3564092893","67,1403862442","63,5724323344","41,8692780306","47,2309876153","46,0191075624","45,088724134","50,5851311494","28,9125147749","23,9044967262","33,9205328235","53,7493878047","76,6147639582","58,3889471885","26,2444522675","87,1965102322","91,0713195177","87,4284808344","94,5439875736","91,2414901453","75,3725480799","77,2640496373","73,4810465225","96,583399063","96,4618133616","96,7049847644"
"BE","69,2553313355","72,6839645838","75,6725265625","69,3264494038","82,0186037212","69,8134309452","40,2969370673","73,095196951","96,0481588172","85,5303535262","77,8528457834","81,4515025161","74,2541890506","93,9649835624","96,2659564134","91,6640107115","70,648546728","73,2873616594","84,7040912528","61,870632066","68,104746054","68,104746054","70,3118954372","72,5705058965","83,9446355113","61,1963762818","68,1235796678","72,1889789617","64,0581803739","47,902360702","65,8357693577","44,6180144198","75,5220296495","77,3672640038","32,8285861703","19,1276357031","46,5295366374","50,8576929519","77,3672640038","52,2035265307","23,0022883213","86,4742936714","92,5608806532","91,0320910464","95,0386057262","91,6119451869","70,3181868621","75,9061291187","64,7302446055","99,3495554253","99,7514808116","98,9476300389"
"BG","55,03856249","67,8964900131","81,2858044631","78,9980831404","83,5735257857","56,7126497246","22,4952520618","55,5996355598","92,0430615523","60,8423412371","44,7321095205","44,2603151934","45,2039038476","82,754659391","91,4034979151","74,1058208669","50,3984958361","53,8778133343","58,9149849807","48,8406416878","47,1438654494","47,1438654494","43,8980113221","48,5842905184","67,3091859769","29,8593950599","39,6637550425","39,7787995707","39,5487105144","45,8134932892","50,3074007686","61,3897861643","41,8714640439","47,6609520976","27,5967859811","27,6414930184","27,5520789437","69,2611725316","85,4271432797","83,7127503116","38,6436240035","75,3111664849","88,1259088885","83,5002205063","89,9215602972","90,9559458621","52,3224336203","72,4302541733","32,2146130672","92,6374471141","92,4112589178","92,8636353104"
"CZ","55,569285232","64,8738578523","78,9031195233","76,1568008821","81,6494381644","53,3390499395","24,5173250013","44,897246559","90,6025782582","73,75824575","55,0927325157","53,9197470124","56,265718019","98,7476672095","98,6526946108","98,8426398083","55,4380211504","61,4131814186","56,8372872121","65,9890756252","50,0442106739","50,0442106739","53,7907916367","55,7532257696","80,2353174038","31,2711341355","51,8974323901","59,971815767","43,8230490132","31,0287817596","30,6809093114","20,1142371289","37,5293383454","34,3991524599","27,3689247863","26,7804764274","27,9573731451","35,5769088746","58,1021109962","34,0810397434","14,547575884","85,734183398","89,1021550989","83,4392488876","92,869798275","90,997418134","72,2703846937","79,412244545","65,1285248424","97,8618613971","98,1964148262","97,527307968"
"DK","75,224597383","79,7574898912","88,4893079322","83,096890227","93,8817256373","71,887297374","48,0174581682","69,3158468269","98,3285871271","83,644299909","78,3281955445","82,3094017245","74,3469893645","89,3212062225","96,7658636226","81,8765488225","73,1883579526","81,6586586724","78,5277575159","84,7895598289","65,5966657656","65,5966657656","80,385024834","75,7608620998","79,1447911209","72,3769330788","85,2914293537","92,9948979462","77,5879607611","58,0449278323","75,0693237799","84,4836718245","73,9940031177","66,7302963975","47,5421260788","34,3109243136","60,773327844","54,796361674","72,6795185524","57,7669280171","33,9426384524","90,3114975448","92,1871275393","90,4166413412","95,234017328","90,9107239488","81,689143723","70,4513834139","92,9269040321","97,8125327581","98,2467492842","97,3783162319"
"DE","62,6059089048","70,0342415434","79,0111269881","70,2047028471","87,8175511291","62,0772690573","38,0718926186","53,4094265849","94,7504879684","83,1634129732","77,0562815457","77,9519516965","76,1606113949","89,7545679421","94,8595246728","84,6496112113","56,3220618094","59,8520661908","61,4461303129","58,2580020687","53,0002529295","53,0002529295","69,8112181041","70,0587743825","83,8116557608","56,3058930042","69,5645365786","59,849571579","79,2795015782","38,3393597487","60,1708293435","57,3188446613","60,804610923","62,3890324461","19,0181098149","26,657071572","11,3791480579","49,2471633342","70,6842884181","45,7325748959","31,3246266885","89,341286653","90,3991760424","87,370547158","95,4982273662","88,328753603","80,8822280831","73,3157846785","88,4486714878","97,5301808815","96,7699875298","98,2903742332"
"EE","53,3676815694","71,2029985286","87,3245294288","82,1380324932","92,5110263643","58,0577648987","25,2448784502","54,2052264184","94,7231898274","65,5419212686","49,5436442272","49,1692719273","49,918016527","86,706246797","95,2510818169","78,1614117771","51,5713386686","67,3964072793","68,2179958105","66,5748187481","39,4620882542","39,4620882542","73,673174199","80,7325759913","94,2510060297","67,2141459529","67,2310592088","74,0093999633","60,4527184544","21,8570765908","34,8513826289","15,040423267","38,1607427411","51,3529818787","21,5694167448","12,1280452659","31,0107882237","13,8904977543",1,"22,0718075602","18,5996857026","82,7286486939","83,3900490134","76,4184172238","89,4902540709","84,2614757455","70,1494951273","65,6305696026","74,6684206519","96,7896708096","96,771075105","96,8082665142"
"IE","65,3838172494","73,4904101717","77,4031664988","74,3368253555","80,4695076422","69,7754450044","33,9975294753","80,9401378121","94,3886677258","85,5354614132","81,1325974809","85,2123746524","77,0528203094","90,177257802","96,5986845178","83,7558310861","65,2687917358","72,6922950284","83,2616721685","62,1229178882","58,6033935644","58,6033935644","70,8449278947","69,927743981","75,228621247","64,6268667149","71,7741417452","80,6159773755","62,9323061148","37,1818538681","32,8779865222","32,1417775839","32,0624695908","34,429712392","21,6929215721","17,0329253181","26,3529178262","72,0725453033","98,4514668642","85,5678682269","32,1983008186","90,7371074017","96,4681891818","99,3419939577","95,9272666199","94,1353069679","79,0301457048","72,3678139647","85,692477445","97,9891255231","98,349081167","97,6291698791"
"EL","48,6148531831","63,6417767256","71,0779980664","66,4496607332","75,7063353996","56,9835371701","35,4677570816","51,4594132148","84,0234412139","75,2755951299","66,7257769395","67,8180327773","65,6335211017","84,9209328397","92,7844582969","77,0574073826","53,3864068795","59,7963187153","67,2947488484","52,2978885821","47,663610415","47,663610415","35,5927427683","34,1804284162","47,0270531524","21,33380368","37,0634130837","39,6107209271","34,5161052403","22,2988009982","34,2563737156","31,4487963548","33,006764354","38,313560438","13,5889910467","11,6736707732","15,5043113201","23,8185837546","21,9877477205","32,5724149017","16,8955886417","84,3387543766","94,0661007815","92,7197807666","95,4103083885","94,0682131895","66,6175672692","80,2167022481","53,0184322903","95,7325519985","95,018070282","96,4470337149"
"ES","66,3796883673","71,7696463832","77,0232735242","71,024655274","83,0218917744","66,8743602588","34,5095670044","77,9502352512","88,1632785208","77,1191483904","70,4457577989","68,7999225031","72,0915930947","84,4247153313","93,1327169366","75,716713726","63,5213559486","71,7775183021","81,3601319377","62,1949046664","56,2148532994","56,2148532994","60,7500437079","60,9248107735","74,5135547283","47,3360668186","60,5757779738","80,1661714711","40,9853844765","52,6253647067","73,7005568764","71,344113622","66,8682033985","82,8893536088","33,2661937973","20,7364789882","45,7959086064","59,4444719115","87,0456301221","65,2488453008","26,0389403114","88,5917128559","92,4350618508","88,7019923903","95,8681385664","92,7350545958","78,6196434157","86,451381438","70,7879053933","95,6778680879","96,0512249171","95,3045112587"
"FR","67,5046956905","71,5161598908","81,0674472854","76,4907137308","85,6441808401","63,0901958405","40,2350809672","55,6666979583","93,368808596","83,5135290531","75,936220707","73,3184820259","78,553959388","91,8469403661","96,9925439119","86,7013368203","61,972704738","67,8686958351","77,3121229238","58,4252687463","56,5889190191","56,5889190191","66,5653784435","70,291791934","82,9294417564","57,6541421116","63,0365151522","71,4690705297","54,6039597748","52,448534612","64,0983077381","62,0127337514","38,2773561868","92,0048332763","41,2197910375","27,7597770228","54,6798050521","54,6069256347","69,6197131382","53,8050534895","40,3960102764","86,7093820914","91,0139770731","87,0757902166","95,0134243661","90,9527166364","73,9688377504","80,2571587299","67,6805167709","96,8370134621","97,486090701","96,1879362231"
"HR","52,3141057432","67,2392852278","75,0390564578","68,1377660417","81,9403468738","60,2502442243","23,1746834526","66,6559910871","90,9200581333","68,6452410215","56,2235967061","61,8988900721","50,5483033402","83,8112356906","91,7941630483","75,8283083328","49,9003691987","57,4942878063","63,2895457218","51,6990298909","43,3094650125","43,3094650125","49,778179588","53,0150833325","72,3440107493","33,6861559157","46,7389091431","42,2569336187","51,2208846676","28,3735385896","40,236334074","28,7901961292","45,6586257435","46,2601803493","24,7831245566","31,3450053211","18,2212437922","22,9068852852","53,6248519877",1,"14,095803868","81,4972579175","85,1089697691","76,063199003","92,1311770673","87,1325332371","68,2904351966","82,906481532","53,6743888611","93,1308948455","90,9065629737","95,3552267173"
"IT","53,2655289935","61,2586905474","64,9264812389","60,0153511089","69,8376113688","57,798098649","30,342286759","59,2200901483","83,8319190398","78,9298255851","72,4774265492","73,9334765741","71,0213765244","85,9566580038","93,0891639535","78,8241520542","53,8354309031","53,7378988905","52,8783437182","54,5974540628","53,9331399322","53,9331399322","55,1108582467","54,4877474726","82,1658192742","26,8096756709","55,7410947886","61,8596002427","49,6225893344","25,2317776976","31,7235485591","34,4875885477","38,3455611733","22,3374959561","10,5998221658","10,0922840631","11,1073602686","47,7708764021","64,1820818407","63,1269691257","16,0035782399","86,2650427769","91,091555548","85,1367727514","96,3104622058","91,8274316867","74,2240725054","89,6182590279","58,8298859828","94,9470833104","95,535561238","94,3586053829"
"CY","48,9868932445","70,4573610607","85,1723454778","85,3017198504","85,0429711052","58,2846427417","34,2342703016","57,2385143959","83,3811435276","80,719381479","74,8102339608","71,1951689497","78,425298972","87,0952836449","93,0498224437","81,140744846","55,5480553711","73,6078012886","84,7717611722","62,4438414051","41,9192857481","41,9192857481","45,8612956138","52,6070503332","70,619551107","34,5945495594","39,9805429511","33,1866797841","46,7744061181","15,3897176827","30,1239467669","26,3583585773","25,2450340836","38,7684476399","4,6778852522","8,3557705043",1,"25,8660744355","47,7013591745","21,5410936278","8,3557705043","86,4341969785","93,7235572489","91,8858019711","96,3323279487","92,9525418268","73,0022064519","76,7061438922","69,2982690115","94,3782791081","96,0511838379","92,7053743784"
"LV","55,2213961357","72,6193644654","86,882789846","82,1722683592","91,5933113329","60,6975455635","22,3959696329","68,310839037","91,3858280206","58,9273018683","43,4972875802","40,7673964565","46,2271787038","79,8308836862","93,3029444335","66,3588229389","49,1763885522","60,5046113666","60,6378488907","60,3713738424","39,9691384908","39,9691384908","62,0374976566","78,1644483191","88,3771793993","67,951717239","49,2378721817","51,805857315","46,6698870484","34,7998107644","38,0528232968","43,1089640254","35,6692032648","35,3803026003","37,4903229608","38,2780684911","36,7025774305","29,54095839","63,4685488105",1,"24,1543263595","77,3213482437","79,9911817675","68,9147606214","87,4140033854","83,6447812958","65,4744913524","66,5901953093","64,3587873955","88,2640819272","87,6734087971","88,8547550573"
