"Country","Gender Equality Index","WORK","Participation","FTE employment rate (%)","Duration of working life (years)","Segregation and quality of work","Employed people in education, human health and social work activities (%)","Ability to take one hour or two off during working hours to take care of personal or family matters (%)","Career Prospects Index (points, 0-100)","MONEY","Financial resources","Mean monthly earnings (PPS)","Mean equivalised net income (PPS)","Economic situation","Not at-risk-of-poverty (%)","Income distribution S20/80","KNOWLEDGE","Attainment and participation","Graduates of tertiary education (%)","People participating in formal or non-formal education (%)","Segregation","Tertiary students in education, health and welfare, humanities and arts (%)","TIME","Care activities","People caring for and educating their children or grandchildren, elderly or people with disabilities, every day (%)","People doing cooking and/or housework, every day (%)","Social activities","Workers doing sporting, cultural or leisure activities outside of their home, at least daily or several times a week (%)","Workers involved in voluntary or charitable activities, at least once a month (%)","POWER","Political","Share of ministers (%)","Share of members of parliament (%)","Share of members of regional assemblies (%)","Economic","Share of members of boards in largest quoted companies, supervisory board or board of directors (%)","Share of board members of central bank (%)","Social","Share of board members of research funding organisations (%)","Share of board members of publically owned broadcasting organisations (%) ","Share of members of highest decision making body of the national Olympic sport organisations (%) ","HEALTH","Status","Self-perceived health, good or very good (%)","Life expectancy at birth (years)","Healthy life years at birth (years)","Behaviour","People who don't smoke and are not involved in harmful drinking (%)","People doing physical activities and/or consuming fruits and vegetables (%)","Access","Population without unmet needs for medical examination (%)","Population without unmet needs for dental examination (%)"
"LT","54,9138912121","72,5803333269","85,9527276876","82,9735602202","88,931895155","61,2883956981","32,3571830003","58,98165249","92,526351604","60,7909299424","47,8371791387","48,8909221674","46,78343611","77,2524055516","92,6098059271","61,895005176","54,3362955229","65,0280812064","68,9765970051","61,0795654076","45,4024316323","45,4024316323","52,2005443415","65,3687197474","84,7585782704","45,9788612243","41,6850267235","45,2888226246","38,0812308224","32,9204956003","34,011530318","30,410587331","32,8130926566","38,8109109663","23,6795366274","24,2468636734","23,1122095815","44,299591478","56,2539025911","58,4331580879","18,2117137551","80,4175936372","81,8541707012","72,2604570605","86,8558477494","86,4462072936","64,7538423585","66,8144798292","62,6932048878","98,117588058","98,0963049549","98,1388711612"
"LU","61,178792631","70,9349546629","74,7693332735","71,5613560159","77,9773105311","67,2972136132","42,4577437142","61,3984317945","98,0354653308","91,8412422298","91,188634449","88,6267734942","93,7504954039","92,4985205149","96,9900398","88,0070012298","66,2564102181","74,7683112145","75,4855302002","74,0510922289","58,7135355029","58,7135355029","70,1748216681","72,1225697009","83,8591218896","60,3860175122","68,2796746784","76,0834774449","60,4758719119","25,5826149112","45,3413651543","50,4497735232","43,2043044018","42,3700175378","5,1654874208","9,3309748415",1,"71,4873009845","90,5066328419","90,5066328419","33,4486372698","89,7716549353","93,8326114755","93,5291993075","95,2600551949","92,7085799243","78,4595301031","71,4062131807","85,5128470254","98,269373688","98,045214495","98,4935328811"
"HU","52,370575182","66,0147099403","75,7897123507","73,0960113885","78,4834133128","57,5004415948","30,1731383","48,4979630821","93,8302234022","70,8316404965","51,0329558327","54,8648677822","47,2010438831","98,3113992433","98,5879693646","98,0348291221","54,4868472336","59,2300736589","61,5206907402","56,9394565776","50,1234649573","50,1234649573","54,072965091","68,6697078696","90,129816718","47,2095990211","42,5789717831","43,9867934873","41,1711500789","23,5028464629","16,0546522894","8,0881307624","17,9785999207","22,0972261851","37,7575777549","19,7213007184","55,7938547914","21,4168877726",1,"45,6924713585","17,5581919594","85,4016452346","84,2328558926","76,2101262392","89,947041449","86,5413999896","76,7668291007","84,3168705883","69,2167876131","96,3260128342","95,7905048084","96,8615208599"
"MT","54,4033153837","65,062183769","58,5666351246","55,3093601589","61,8239100904","72,2781451894","38,0584605388","82,9537744468","95,8222005824","79,1717252374","68,6365455335","70,0408756532","67,2322154138","91,3239736694","95,5945223283","87,0534250106","65,44531823","59,2084464858","59,5780953929","58,8387975786","72,3391666636","72,3391666636","54,3354323411","49,7088693948","68,2142434792","31,2034953105","59,3926042503","66,5973892702","52,1878192303","20,8898573029","30,010975512","28,2013370526","17,8717176039","43,9598718795","12,375728465","6,1538293374","18,5976275927","24,5445760808","30,8267600231","25,2170384984","17,5899297207","90,5771120154","93,7761568554","87,8061307491","96,5112749607","97,0110648564","81,6978035535","82,387057609","81,008549498","96,9957257897","96,4125125224","97,5789390571"
"NL","73,973032374","76,2987802889","78,5168638431","66,6285123365","90,4052153498","74,1433570908","38,0416549071","92,6112883827","91,7771279826","86,5776542403","77,6777227024","76,7540763925","78,6013690123","96,4972961743","98,427600679","94,5669916696","66,9056020967","77,0831483792","76,2268865785","77,9394101799","58,0718313412","58,0718313412","85,8833126026","76,5037925865","90,3502919557","62,6572932173","96,4127807816","97,9599590987","94,8656024646","56,9294745203","69,4873748961","63,7266967085","76,161667955","68,5737600249","40,3751342833","31,6675623871","49,0827061794","65,7645178569","65,314883406","81,6510026341","50,3276675307","90,2948271977","93,5504882473","94,3809030634","96,3225333891","89,9480282895","79,2888731495","84,1147936597","74,4629526394","99,2499529204","99,5521338773","98,9477719634"
"AT","58,669621438","75,2794852736","80,2833237493","73,5890294614","86,9776180373","70,58752227","35,5348477954","81,8811863066","94,3465327079","82,804721989","74,7289997204","69,9251677404","79,5328317005","91,7531615482","95,4878214135","88,0185016829","58,8500553375","61,2077224182","54,0788009243","68,3366439121","56,5832034979","56,5832034979","55,9718194232","44,8780793826","62,3355897577","27,4205690074","69,8079020458","65,4608692764","74,1549348151","28,3829240677","60,2613779969","68,182729206","54,021552051","58,5798527337","9,3148413558","17,6296827115",1,"40,7339836645","57,7463944901","38,2556648916","26,1998916119","91,0764592684","90,9936692196","88,5734505343","95,1682306747","89,2393264499","84,6209053111","80,5600386333","88,6817719888","98,1136810967","98,7008063011","97,5265558922"
"PL","55,4578058895","66,3273988445","77,870455584","75,0463355681","80,6945755999","56,4954167082","25,2359503184","53,5706995321","90,6796002741","69,5319063742","54,6170519092","57,7151047377","51,5189990807","88,5197174697","95,0224956038","82,0169393356","57,8058001066","62,303669449","62,0274036314","62,5799352666","53,6326440403","53,6326440403","54,1567855975","63,0430451838","84,7088257818","41,3772645858","46,5230925586","51,4550658993","41,5911192178","30,643554056","36,6018732759","37,657061934","34,3848861099","37,7636717838","27,5213433109","21,672344106","33,3703425158","28,5656729623","39,5759823158","40,440092535","5,6809440363","81,6268457067","85,7954350469","78,9415516958","90,7584722757","87,6862811693","67,8851520475","76,5499038823","59,2204002127","93,3813326573","91,9835385317","94,779126783"
"PT","53,6629751637","71,3944173821","85,6214640776","81,0009077609","90,2420203944","59,5313673767","27,2878027737","63,6746824344","87,631616922","71,768116536","60,3956306281","61,3617559423","59,4295053139","85,2820394051","93,6592466829","76,9048321273","50,1037908713","50,7594713086","47,7444528968","53,7744897204","49,456580121","49,456580121","38,7425238521","49,3032422409","72,2673658641","26,3391186176","30,4439036098","35,5110505387","25,3767566808","34,867857413","41,8795477551","30,7684725391","55,323554105","39,546616621","20,4162096905","9,8732733313","30,9591460496","49,579105062","62,0432842943","62,0432842943","24,6507465975","84,2902234436","83,325683251","68,9026150151","94,3347193559","86,7397153821","75,4696801584","85,2842384286","65,6551218882","95,231411719","98,3995576956","92,0632657424"
"RO","50,8425506633","67,9352268518","78,8058939268","77,1213612924","80,4904265612","58,5640847079","22,3967992199","57,6861529293","95,6093019744","59,7790227157","42,4586455985","49,0522155549","35,865075642","84,164991758","93,3040382068","75,0259453092","47,1636333955","50,1075658496","51,2854569378","48,9296747613","44,3926636098","44,3926636098","50,6191739881","70,8512827265","78,4242848831","63,2782805698","36,1644938051","31,5557623455","40,7732252646","30,8109813598","23,5432372728","23,3284442455","19,1325840435","28,1686835294","27,9953584758","27,5445317682","28,4461851834","44,3776582387","56,8594727463","55,6267756552","20,6467263145","69,927727317","87,9100522875","86,0893670519","89,5420941793","88,0986956313","42,4624760498","57,4673608249","27,4575912747","91,6018801628","91,0321926299","92,1715676956"
"SI","62,723993116","71,9280871266","84,4204327767","81,9876306377","86,8532349157","61,2843306711","27,0617865988","65,2776776077","91,5135278068","80,2719300731","67,2903894425","69,4612143626","65,1195645224","95,757846121","95,4983403684","96,0173518736","55,0109414708","68,3913333049","63,9232633842","72,8594032255","44,2483504162","44,2483504162","68,3342380255","64,4946650074","84,1903827899","44,7989472249","72,402393066","84,4870028707","60,3177832613","41,1029113234","44,4730193072","67,0005313107","23,1654571208","43,25306949","29,8673350597","22,713719324","37,0209507954","52,2786859952","84,0665453007","60,3724962958","12,3970163892","86,7751886978","86,2746998643","80,1432064103","93,9940178747","84,6868753078","75,8686277586","79,2540678283","72,4831876889","99,8253896563","99,9503261415","99,7004531712"
"SK","53,0320087796","64,8018853521","79,0309186374","77,0034526939","81,0583845809","53,1347024379","21,4591043278","42,5716318689","95,3733711171","70,2252762014","51,8574543587","51,4784004018","52,2365083155","95,0989491975","98,204842137","91,993056258","59,5027805113","59,1219496775","59,1814977509","59,062401604","59,8860644463","59,8860644463","39,8722250765","52,66499403","69,8176093202","35,5123787398","30,1869270439","36,4393728411","23,9344812466","29,524585011","30,9668580519","31,2278351452","32,9041759868","28,7685630237","34,1402880541","35,0261301761","33,2544459321","24,3437277032","31,8933519054","21,5082876438","19,6295435603","84,7728900571","85,4167910641","81,573105282","90,7912896611","83,8859782492","73,0513608024","77,3378458411","68,7648757637","97,6336230299","97,2307878772","98,0364581826"
"FI","73,1200138319","74,4557928604","88,8503267581","84,7866730495","92,9139804666","62,393299977","32,719384699","59,361955109","95,0985601229","84,1385225556","74,5879814894","75,0754907856","74,1004721933","94,9119527902","96,3771185932","93,4467869871","58,6423701788","78,3363201255","80,2270855919","76,4455546591","43,8995292946","43,8995292946","80,1470399337","84,1663406403","93,7556830538","74,5769982267","76,3196779291","81,5810016014","71,0583542568","69,1302797356","86,1154564412","97,4059835931","78,9193154228","82,0210703078","52,4940915341","49,0124191753","55,9757638929","73,0825026077","90,5392408176","86,918873212","41,7893937935","89,4782105967","90,4958155706","88,7440533957","94,33964721","88,403746106","81,91646634","70,4603847496","93,3725479305","96,6389412145","96,1094545439","97,1684278851"
"SE","80,1324000067","80,4293188726","91,9477429291","89,2497912615","94,6456945967","70,3538241206","39,4113285593","75,681560936","95,9685828663","85,2827979807","75,9300244601","76,9435311712","74,916517749","95,7876108053","95,4959501083","96,0792715022","70,6659094105","74,3895011659","74,6188640494","74,1601382823","67,1287033056","67,1287033056","84,4527599822","84,5949603581","92,5547645997","76,6351561166","84,3107986388","92,7337367429","75,8878605348","77,7944329306","92,1047524703","91,1377636995","91,7075733302","93,4689203813","58,704158025","51,5196156219","65,8887004281","87,0752349723","81,8408750031","95,5527739354","83,8320559785","93,150630394","95,7043964852","95,6980728763","96,7844451349","94,6306714445","89,3494882847","85,8533492113","92,8456273581","94,5221162423","93,0638612271","95,9803712576"
"UK","68,7242515661","75,0688808149","81,0583624011","73,7001802086","88,4165445935","69,5219678745","40,8374315363","71,7174080316","96,0110640556","79,8126608494","74,3651592228","74,7901119855","73,9402064601","85,6592105555","94,2319109773","77,0865101336","73,3136776542","80,6118210071","90,0511458165","71,1724961977","66,6762673767","66,6762673767","72,081649311","78,4198962274","79,3224864022","77,5173060527","66,2556878719","75,4553273919","57,0560483519","42,4033551969","47,544815853","42,2850238794","40,4994581562","59,8499655233","22,8510912379","26,6787160963","19,0234663795","70,1763137181","76,0988306568","93,9744283318","40,4556821656","94,080126459","95,6152547015","97,15294564","96,1660458078","93,5267726566","88,4871681716","84,0285823384","92,9457540048","98,4206422004","97,9945400799","98,8467443209"
