"Country","Gender Equality Index","WORK","Participation","FTE employment rate (%)","Duration of working life (years)","Segregation and quality of work","Employed people in education, human health and social work activities (%)","Ability to take one hour or two off during working hours to take care of personal or family matters (%)","Career Prospects Index (points, 0-100)","MONEY","Financial resources","Mean monthly earnings (PPS)","Mean equivalised net income (PPS)","Economic situation","Not at-risk-of-poverty (%)","Income distribution S20/80","KNOWLEDGE","Attainment and participation","Graduates of tertiary education (%)","People participating in formal or non-formal education (%)","Segregation","Tertiary students in education, health and welfare, humanities and arts (%)","TIME","Care activities","People caring for and educating their children or grandchildren, elderly or people with disabilities, every day (%)","People doing cooking and/or housework, every day (%)","Social activities","Workers doing sporting, cultural or leisure activities outside of their home, at least daily or several times a week (%)","Workers involved in voluntary or charitable activities, at least once a month (%)","POWER","Political","Share of ministers (%)","Share of members of parliament (%)","Share of members of regional assemblies (%)","Economic","Share of members of boards in largest quoted companies, supervisory board or board of directors (%)","Share of board members of central bank (%)","Social","Share of board members of research funding organisations (%)","Share of board members of publically owned broadcasting organisations (%) ","Share of members of highest decision making body of the national Olympic sport organisations (%) ","HEALTH","Status","Self-perceived health, good or very good (%)","Life expectancy at birth (years)","Healthy life years at birth (years)","Behaviour","People who don't smoke and are not involved in harmful drinking (%)","People doing physical activities and/or consuming fruits and vegetables (%)","Access","Population without unmet needs for medical examination (%)","Population without unmet needs for dental examination (%)"
"EU-28","66,2468709793","71,4607394997","79,7641685782","73,3806916946","86,1476454618","64,0216952156","35,7751615576","63,2273308876","93,0625932016","79,5519488114","73,0233283661","76,3690996613","69,6775570708","86,6642578652","94,7962248856","78,5322908448","63,3608344208","72,1499679705","80,3574457053","63,9424902357","55,6423717352","55,6423717352","65,6638370757","70,0051434663","79,6068795401","60,4034073924","61,5917529201","67,1403862442","56,043119596","48,539348856","52,7292968357","51,4179782165","53,0224948873","53,7474174034","39,4688969729","41,5958865953","37,3419073506","54,9509074753","76,7461743165","61,8001228203","26,3064252892","87,4198314685","91,2390213191","86,5350571221","95,3185110487","91,8634957865","75,3725480799","77,2640496373","73,4810465225","97,1484954647","97,1803288249","97,1166621045"
"BE","70,4745598081","73,7861162984","77,510791468","71,6484452162","83,3731377198","70,2404253044","41,577920145","73,095196951","96,0481588172","87,5389472699","82,7103478514","86,9080024633","78,5126932396","92,6494385308","95,5380964385","89,7607806231","71,0535941514","73,2806206861","85,7590313013","60,802210071","68,8942478183","68,8942478183","65,2840904799","68,9054373757","80,1801342181","57,6307405332","61,8530646072","72,1889789617","51,5171502528","53,4023424855","70,1534367231","48,9990515286","80,5021427544","80,9591158864","37,9921001846","46,9517127526","29,0324876166","57,1397939463","77,6932642564","70,5876645627","23,1384530199","86,2972659629","93,2959778867","90,8789188478","96,0222308478","92,9867839644","70,3181868621","75,9061291187","64,7302446055","97,962650092","98,3987442919","97,5265558922"
"BG","57,994036493","68,5631006197","82,6636196833","80,6226164247","84,7046229419","56,8678069578","22,9607237614","55,5996355598","92,0430615523","61,9032897585","48,1812507327","47,3505524383","49,0119490271","79,5333708579","90,1020785393","68,9646631766","53,3304018322","56,0772232443","64,9675107934","47,1869356952","50,7181275221","50,7181275221","42,6538507315","55,7476712999","80,5128761749","30,982466425","32,6354615324","39,7787995707","25,492123494","55,9643295887","49,1977802099","58,379928471","40,3867295451","48,8266826136","53,1855058639","33,5035704911","72,8674412366","66,9877073789","85,2533239036","77,175507174","38,5342910592","76,4440766999","88,1394539845","83,8173573599","90,5461033755","90,0549012181","52,3224336203","72,4302541733","32,2146130672","96,866415076","96,6161544067","97,1166757453"
"CZ","53,6113643629","66,1149548342","81,7532016403","79,3409793659","84,1654239147","53,4680864482","24,9044345275","44,897246559","90,6025782582","75,9492942437","58,8266448063","56,379957011","61,2733326016","98,05582683","98,2160769857","97,8955766743","57,3397461952","66,8884984749","70,099282157","63,6777147928","49,1541381358","49,1541381358","57,2715224906","56,7980467012","75,057497977","38,5385954255","57,7489452347","59,971815767","55,5260747025","22,5667823499","36,6110677413","33,4816868978","38,0687170257","38,2827993004","9,1672600572","17,3345201145",1,"34,2418305835","58,1851117399","29,9670132279","14,5733667827","86,0015148064","89,5896315833","83,4834620674","93,7840905919","91,5013420907","72,2703846937","79,412244545","65,1285248424","98,2426764227","97,6385436495","98,8468091959"
"DK","76,7879506157","79,1991216012","87,1772441468","80,9751555952","93,3793326985","71,9511258217","48,2089435111","69,3158468269","98,3285871271","86,6261779059","82,3698403335","83,4530069392","81,2866737277","91,1024553187","97,1006905957","85,1042200417","73,6092859414","82,116287405","79,2149709194","85,0176038905","65,9835843538","65,9835843538","83,0937827952","86,1047394336","91,9064419878","80,3030368795","80,188114901","92,9948979462","67,3813318558","61,5495525829","71,2406660101","63,9402718038","74,2605071946","75,5212190321","55,713987349","50,3861096302","61,0418650678","58,7465664751","72,9736937352","69,14648779","34,1195179","89,6381269382","91,6038041752","91,1325020218","96,3195429797","87,3593675241","81,689143723","70,4513834139","92,9269040321","96,2499395986","96,5128474024","95,9870317948"
"DE","65,4771864785","71,3994726033","81,9069502527","73,1227424875","90,6911580179","62,2399524376","38,5599427595","53,4094265849","94,7504879684","84,2223185727","81,1818103202","81,1887924587","81,1748281816","87,3767032022","94,2280553522","80,5253510521","52,872437216","60,9638863795","63,8703864989","58,0573862601","45,8549279447","45,8549279447","65,0196574359","71,2719783919","84,6859851072","57,8579716766","59,3158201649","59,849571579","58,7820687507","53,042936514","71,4811954358","81,0988711799","71,2474623241","62,0972528035","42,1419444895","49,8426293507","34,4412596283","49,542315371","71,0631454828","46,0233745101","31,5404261202","90,466868687","91,8153907263","86,4147740089","95,7440606131","93,2873375569","80,8822280831","73,3157846785","88,4486714878","99,701130366","99,6518326223","99,7504281098"
"EE","56,7246967948","72,1255256424","88,6106882865","83,9244779146","93,2968986584","58,7072682741","27,1933885765","54,2052264184","94,7231898274","66,7387178755","56,4106665223","53,1620511571","59,6592818875","78,9576996383","89,3383900329","68,5770092436","53,2143502361","67,8668080951","72,2248464739","63,5087697162","41,7253610496","41,7253610496","74,6863390441","85,8776925989","94,6231580794","77,1322271183","64,9534130576","74,0093999633","55,8974261519","28,1626960611","44,9421612708","38,7319629222","40,5861914765","55,5083294136","23,2294061449","14,2317664415","32,2270458483","21,3959031533",1,"44,4168796526","18,7708298073","81,5175338964","84,0579901197","76,3635305995","91,2667011239","84,5437386357","70,1494951273","65,6305696026","74,6684206519","91,8648873783","90,6441585205","93,0856162361"
"IE","69,4991394034","73,8543868784","78,274378361","74,7594909459","81,7892657762","69,6839831295","33,7231438508","80,9401378121","94,3886677258","84,6836156926","80,9726865433","84,9356899475","77,0096831391","88,5646144756","95,7007671253","81,428461826","66,4157824825","74,066268887","87,9440529943","60,1884847797","59,5555335654","59,5555335654","74,1563302198","76,2193548552","81,9236471775","70,5150625328","72,1491453467","80,6159773755","63,6823133178","48,6401176411","39,826734018","38,5492488284","40,8976532025","40,0333000231","39,8873835888","27,016309441","52,7584577366","72,4391935206","97,7520950769","87,7368651732","31,8286203117","90,6380510296","96,7840437473","98,9810671308","96,8431905836","94,5278735276","79,0301457048","72,3678139647","85,692477445","97,3498146877","98,0958494451","96,6037799302"
"EL","49,95230298","64,1768718434","70,995224364","62,4386794285","79,5517692995","58,0133511304","38,5571989624","51,4594132148","84,0234412139","70,7246249456","61,4415598726","67,8180327773","55,0650869679","81,4102471368","93,0712457268","69,7492485468","55,5853963923","63,8636786104","75,5045014201","52,2228558007","48,3801803987","48,3801803987","44,7344424319","50,9158529429","69,6120798386","32,2196260473","39,3034825899","39,6107209271","38,9962442527","21,6644193704","34,6656040438","27,3075545637","39,2343026919","37,4549548757","12,1203156724","18,1597941597","6,0808371852","24,2007295678","21,4569820839","34,6628698974","16,482336722","83,1083509907","93,3936385647","91,4429387705","95,7515294746","92,986447449","66,6175672692","80,2167022481","53,0184322903","92,2630762959","91,769475048","92,7566775437"
"ES","68,3476260974","72,4404657021","78,0225261285","70,0722621639","85,9727900931","67,2577694101","35,6597944582","77,9502352512","88,1632785208","75,9331131125","71,0297783959","71,2797584982","70,7797982935","81,1749353183","92,5486075486","69,8012630879","65,2558402477","73,3188297667","84,8044266444","61,833232889","58,0795506419","58,0795506419","63,9750760805","74,4734296665","82,2421499323","66,7047094007","54,9566520279","80,1661714711","29,7471325848","57,0069068913","72,2642685224","55,561080588","74,4727462849","86,7589786942","43,5399347566","35,3804449737","51,6994245394","58,8804401077","86,3219295652","64,6043179841","25,7150727737","89,6259216466","93,1724769258","89,9324299829","96,5985533454","92,986447449","78,6196434157","86,451381438","70,7879053933","98,2838574161","99,5022466636","97,0654681687"
