"Country","Gender Equality Index","WORK","Participation","FTE employment rate (%)","Duration of working life (years)","Segregation and quality of work","Employed people in education, human health and social work activities (%)","Ability to take one hour or two off during working hours to take care of personal or family matters (%)","Career Prospects Index (points, 0-100)","MONEY","Financial resources","Mean monthly earnings (PPS)","Mean equivalised net income (PPS)","Economic situation","Not at-risk-of-poverty (%)","Income distribution S20/80","KNOWLEDGE","Attainment and participation","Graduates of tertiary education (%)","People participating in formal or non-formal education (%)","Segregation","Tertiary students in education, health and welfare, humanities and arts (%)","TIME","Care activities","People caring for and educating their children or grandchildren, elderly or people with disabilities, every day (%)","People doing cooking and/or housework, every day (%)","Social activities","Workers doing sporting, cultural or leisure activities outside of their home, at least daily or several times a week (%)","Workers involved in voluntary or charitable activities, at least once a month (%)","POWER","Political","Share of ministers (%)","Share of members of parliament (%)","Share of members of regional assemblies (%)","Economic","Share of members of boards in largest quoted companies, supervisory board or board of directors (%)","Share of board members of central bank (%)","Social","Share of board members of research funding organisations (%)","Share of board members of publically owned broadcasting organisations (%) ","Share of members of highest decision making body of the national Olympic sport organisations (%) ","HEALTH","Status","Self-perceived health, good or very good (%)","Life expectancy at birth (years)","Healthy life years at birth (years)","Behaviour","People who don't smoke and are not involved in harmful drinking (%)","People doing physical activities and/or consuming fruits and vegetables (%)","Access","Population without unmet needs for medical examination (%)","Population without unmet needs for dental examination (%)"
"EU-28","64,9814607873","70,965183566","78,7227248961","72,2572828668","85,1881669253","63,9720904632","35,6263473004","63,2273308876","93,0625932016","78,4398468181","70,0068066948","72,4710507423","67,5425626474","87,8887333866","94,8547376093","80,9227291639","62,8489513675","70,3617463038","77,9030724889","62,8204201186","56,1383265125","56,1383265125","68,9059709883","72,6483123762","78,8419711859","66,4546535666","65,3564092893","67,1403862442","63,5724323344","43,5348591865","48,2617995394","45,7888560786","47,857325366","51,1392171737","31,8181392325","29,8383277284","33,7979507366","53,7320169229","76,5925236102","58,3695546509","26,2339725076","87,1843126619","91,0815498009","87,2338019369","94,9172655897","91,0935818762","75,3725480799","77,2640496373","73,4810465225","96,5320290398","96,5136855684","96,5503725112"
"BE","70,1877692866","72,846315789","75,4102176987","69,2408077474","81,57962765","70,3695849976","41,9653992245","73,095196951","96,0481588172","85,6217963284","78,5529766","81,4515025161","75,654450684","93,3267245088","95,3673221362","91,2861268813","70,6271306301","72,5365678181","85,0085020614","60,0646335748","68,7679570606","68,7679570606","71,8004841677","75,6758460411","81,2282029004","70,1234891819","68,1235796678","72,1889789617","64,0581803739","50,4519300792","69,9962051158","55,8368678268","76,5581844759","77,5935630446","35,9558823643","25,2129774354","46,6987872931","51,0256927362","77,5935630446","52,3867608546","23,0967543096","86,3741179872","93,4270763239","92,0078987904","95,2852098883","92,9881202928","70,3181868621","75,9061291187","64,7302446055","98,0867747219","98,9016815457","97,271867898"
"BG","56,9487770309","68,7123244606","81,9799382586","79,5606154736","84,3992610436","57,5919381384","25,133117303","55,5996355598","92,0430615523","60,4991363403","44,237423858","44,2603151934","44,2145325226","82,7386673706","91,2262867626","74,2510479786","51,9000189941","54,5935276308","61,0569372639","48,1301179978","49,3394013628","49,3394013628","47,376033168","56,5878978511","74,8212516141","38,3545440882","39,6637550425","39,7787995707","39,5487105144","49,4441901347","53,3825014996","67,1384899362","44,0701052165","48,938909346","32,6955841898","28,881977256","36,5091911237","69,2560600309","85,4029860331","83,7367761358","38,6284179239","75,7934050494","88,4050042774","84,4014135758","90,3483973282","90,4652019282","52,3224336203","72,4302541733","32,2146130672","94,1303058688","93,799168677","94,4614430606"
"CZ","56,7406296789","65,2559275758","79,8748953072","77,1355357338","82,6142548806","53,3125717086","24,4378903086","44,897246559","90,6025782582","74,0240382072","55,8450765926","53,9197470124","57,7704061728","98,1207040411","98,4857552123","97,7556528699","57,6922858847","66,3365228622","63,511722904","69,1613228204","50,1744696133","50,1744696133","55,5404426616","59,4391789531","80,8902835078","37,9880743985","51,8974323901","59,971815767","43,8230490132","31,993990568","31,7460722927","18,8449896029","40,0573503958","36,3358768794","28,9763123487","29,9737191858","27,9789055116","35,6018135943","58,1396778957","34,106516677","14,5592462102","85,747235449","88,9808818503","82,3509542422","93,3426737502","91,2490175584","72,2703846937","79,412244545","65,1285248424","98,0400014374","98,2467624057","97,8332404691"
"DK","75,5987272204","79,7496720895","88,2586642368","82,3990366691","94,1182918046","72,0610294001","48,5386542464","69,3158468269","98,3285871271","85,735107186","80,4091459078","82,3094017245","78,5088900912","91,4138375829","97,5983823978","85,229292768","71,2958421821","80,5071311543","76,2686181287","84,7456441798","63,1384703389","63,1384703389","85,4059616217","85,5206476876","87,2990659361","83,7422294391","85,2914293537","92,9948979462","77,5879607611","57,4918613589","76,0618916105","84,2849260151","76,4628427692","67,4379060471","45,5537536605","37,2499946248","53,8575126961","54,8438353122","72,7368032604","57,8176554197","33,9770472564","90,1675181734","92,6165832064","91,6390367028","95,8553378571","90,3553750592","81,689143723","70,4513834139","92,9269040321","96,8940813086","96,5162947474","97,2718678698"
"DE","64,9108688233","70,5583355201","80,20165692","71,3844364128","89,0188774271","62,074511956","38,0636213147","53,4094265849","94,7504879684","83,9655677284","78,1190942821","77,9519516965","78,2862368676","90,2495942732","94,1205893324","86,378599214","57,0674179328","62,7028182005","67,0880886093","58,3175477917","51,9384978694","51,9384978694","67,7947254577","66,069940604","66,6563936988","65,4834875092","69,5645365786","59,849571579","79,2795015782","45,9534114471","59,8638601107","54,20122912","63,1871811017","62,2031701103","33,0194331359","33,8089796371","32,2298866346","49,0929288363","70,4860857072","45,5806851324","31,2120156694","89,4055285064","90,2409165088","86,7013463551","95,9600902964","88,0613128748","80,8822280831","73,3157846785","88,4486714878","97,9121349897","97,1794669797","98,6448029998"
"EE","53,4504328413","71,386199433","87,6663598792","82,6894056323","92,643314126","58,1293608691","25,4596663614","54,2052264184","94,7231898274","64,9302281578","50,1727602121","49,1692719273","51,1762484968","84,0283554425","93,7699956631","74,2867152219","53,8370075314","70,4954659459","73,2692817642","67,7216501277","41,1150325917","41,1150325917","70,0746940305","73,0386044971","68,0234610651","78,053747929","67,2310592088","74,0093999633","60,4527184544","22,0019656019","33,6969079603","13,9110873402","35,6742634349","51,5053731058","22,6779319094","13,3012840415","32,0545797773","13,9376946418",1,"22,1482737881","18,6648101372","82,084701125","83,2203033945","76,5524648336","89,7639185662","83,3445267835","70,1494951273","65,6305696026","74,6684206519","94,7398775843","94,2783794109","95,2013757578"
"IE","67,685833177","73,6805071715","77,3031997651","73,8709669635","80,7354325668","70,2275863554","35,3539535283","80,9401378121","94,3886677258","84,3716642026","80,6742147103","85,2123746524","76,1360547682","88,2385746906","95,7573699727","80,7197794084","67,7424179699","74,0234592582","85,8198042032","62,2271143132","61,9943358282","61,9943358282","76,5442179427","81,6313111938","81,8637822791","81,3988401085","71,7741417452","80,6159773755","62,9323061148","40,6883843955","37,0457741326","35,1421804607","36,6825542513","39,3125876857","25,3502565373","19,4660388847","31,2344741899","71,7282613869","98,0396558969","85,16492842","31,9801998437","90,4226015607","96,4537961056","99,7012133414","96,0809046606","93,5792703149","79,0301457048","72,3678139647","85,692477445","96,9881971767","97,943234988","96,0331593654"
"EL","50,055128255","63,6198569423","69,3536699241","61,6719654759","77,0353743722","58,36008681","39,5974060012","51,4594132148","84,0234412139","71,1027192847","62,6764933107","67,8180327773","57,5349538441","80,6617668385","91,3178578058","70,0056758713","54,2582701147","60,7429843413","70,322359619","51,1636090636","48,4658419036","48,4658419036","45,1898949289","55,098179951","73,4811824991","36,7151774029","37,0634130837","39,6107209271","34,5161052403","22,3246030886","30,7194696508","20,9712670402","37,6015677245","33,5855741876","15,328684128","14,0769502689","16,5804179872","23,6283094591","21,8090341086","32,3195184305","16,7563758381","83,9053200403","93,5442506586","91,5830123934","95,3810565494","93,668683033","66,6175672692","80,2167022481","53,0184322903","94,7900222602","93,8596368505","95,72040767"
"ES","67,3592136305","72,3018777009","77,5382689645","69,9076156931","85,1689222359","67,4191156043","36,1438330408","77,9502352512","88,1632785208","75,9658810922","69,6476621744","68,7999225031","70,4954018456","82,8572691453","93,5916080558","72,1229302348","64,2493619158","72,9521625759","83,1296107287","62,7747144232","56,584758571","56,584758571","65,7818967806","71,4354497588","76,4804624176","66,3904371001","60,5757779738","80,1661714711","40,9853844765","52,8662888518","69,6634307368","55,4521000648","70,9179359264","82,6202562192","35,8077423257","24,4588514071","47,1566332444","59,2317651974","86,7729641411","65,005761456","25,916569995","89,121424963","93,6006396335","91,312212631","96,1408777469","93,3488285227","78,6196434157","86,451381438","70,7879053933","96,1914517279","96,9753319027","95,4075715532"
